target,source,weight
18시,오늘의사시미,0.14832869080779945
18시,모나카,0.0960960960960961
18시,우니한판,0.18518518518518517
18시,왕새우 튀김,0.1111111111111111
18시,우삼겹숙주볶음,0.10662824207492795
18시,오늘의초밥,0.16733067729083664
18시,닭가라아케,0.09415971394517282
18시,나가사키짬뽕,0.08918406072106262
18시,연어사시미,0.10610932475884244
18시,명란구이,0.08163265306122448
18시,파인샤벳,0.05571847507331378
18시,먹태구이,0.03208556149732621
18시,육사시미,0.102880658436214
18시,알탕,0.08542713567839195
18시,가쓰오우동,0.07931034482758621
18시,참다랑어 사시미&슈토,0.17708333333333334
18시,오뎅나베,0.0919674039580908
18시,모듬고로케,0.10104529616724739
18시,새우관자버터야끼,0.11475409836065574
18시,단새우,0.07662835249042145
18시,육회,0.0967741935483871
18시,육회덮밥,0.1619047619047619
18시,단새우&우니,0.07291666666666667
18시,타코와사비,0.0547945205479452
18시,메로구이,0.07495069033530571
18시,매운해물짬뽕,0.07708779443254818
18시,진미깡,0.017391304347826087
18시,1인사시미,0.06936416184971098
18시,회덮밥,0.175
18시,하루토 삼합,0.2222222222222222
18시,연어머리구이,0.024096385542168676
18시,도미머리구이,0.10526315789473684
18시,우니추가,0.11428571428571428
19시,오늘의사시미,0.19289693593314763
20시,오늘의사시미,0.19846796657381616
21시,오늘의사시미,0.16434540389972144
24시,오늘의사시미,0.03064066852367688
17시,오늘의사시미,0.06824512534818941
23시,늘의사시미,0.06545961002785515
22시,오늘의사시미,0.12395543175487465
1시,오늘의사시미,0.00766016713091922
19시,모나카,0.09309309309309309
19시,우니한판,0.2222222222222222
19시,왕새우 튀김,0.1646090534979424
19시,우삼겹숙주볶음,0.14985590778097982
19시,오늘의초밥,0.1593625498007968
19시,닭가라아케,0.1537544696066746
19시,나가사키짬뽕,0.14800759013282733
19시,연어사시미,0.15755627009646303
19시,명란구이,0.13877551020408163
19시,파인샤벳,0.10263929618768329
19시,먹태구이,0.10695187165775401
19시,육사시미,0.1440329218106996
19시,알탕,0.1708542713567839
19시,가쓰오우동,0.16551724137931034
19시,참다랑어 사시미&슈토,0.13541666666666666
19시,오뎅나베,0.119906868451688
19시,모듬고로케,0.17421602787456447
19시,새우관자버터야끼,0.1377049180327869
19시,단새우,0.1111111111111111
19시,육회,0.10752688172043011
19시,육회덮밥,0.17142857142857143
19시,단새우&우니,0.13541666666666666
19시,타코와사비,0.1095890410958904
19시,메로구이,0.14201183431952663
19시,매운해물짬뽕,0.12419700214132762
19시,진미깡,0.13043478260869565
19시,1인사시미,0.2023121387283237
19시,회덮밥,0.15
19시,하루토 삼합,0.14285714285714285
19시,연어머리구이,0.0963855421686747
19시,도미머리구이,0.10526315789473684
19시,우니추가,0.05714285714285714
20시,모나카,0.1981981981981982
20시,우니한판,0.16049382716049382
20시,왕새우 튀김,0.19547325102880658
20시,우삼겹숙주볶음,0.2132564841498559
20시,오늘의초밥,0.17131474103585656
20시,닭가라아케,0.20381406436233612
20시,나가사키짬뽕,0.20872865275142316
20시,연어사시미,0.21221864951768488
20시,명란구이,0.23877551020408164
20시,파인샤벳,0.24633431085043989
20시,먹태구이,0.25133689839572193
20시,육사시미,0.2222222222222222
20시,알탕,0.21775544388609716
20시,가쓰오우동,0.16896551724137931
20시,참다랑어 사시미&슈토,0.14583333333333334
20시,오뎅나베,0.23282887077997672
20시,모듬고로케,0.1986062717770035
20시,새우관자버터야끼,0.21639344262295082
20시,단새우,0.18007662835249041
20시,육회,0.1881720430107527
20시,육회덮밥,0.19047619047619047
20시,단새우&우니,0.2708333333333333
20시,타코와사비,0.228310502283105
20시,메로구이,0.20118343195266272
20시,매운해물짬뽕,0.23768736616702354
20시,진미깡,0.23478260869565218
20시,1인사시미,0.1791907514450867
20시,회덮밥,0.275
20시,하루토 삼합,0.15873015873015872
20시,연어머리구이,0.21686746987951808
20시,도미머리구이,0.23684210526315788
20시,우니추가,0.2
21시,모나카,0.25825825825825827
21시,우니한판,0.16049382716049382
21시,왕새우 튀김,0.21193415637860083
21시,우삼겹숙주볶음,0.2017291066282421
21시,오늘의초밥,0.11553784860557768
21시,닭가라아케,0.22765196662693682
21시,나가사키짬뽕,0.23624288425047438
21시,연어사시미,0.18006430868167203
21시,명란구이,0.22448979591836735
21시,파인샤벳,0.25219941348973607
21시,먹태구이,0.32620320855614976
21시,육사시미,0.15637860082304528
21시,알탕,0.17755443886097153
21시,가쓰오우동,0.1896551724137931
21시,참다랑어 사시미&슈토,0.1875
21시,오뎅나베,0.21885913853317812
21시,모듬고로케,0.21602787456445993
21시,새우관자버터야끼,0.2
21시,단새우,0.24521072796934865
21시,육회,0.20967741935483872
21시,육회덮밥,0.17142857142857143
21시,단새우&우니,0.1875
21시,타코와사비,0.1963470319634703
21시,메로구이,0.1794871794871795
21시,매운해물짬뽕,0.18629550321199143
21시,진미깡,0.26956521739130435
21시,1인사시미,0.1907514450867052
21시,회덮밥,0.075
21시,하루토 삼합,0.09523809523809523
21시,연어머리구이,0.1927710843373494
21시,도미머리구이,0.14035087719298245
21시,우니추가,0.2
24시,모나카,0.05405405405405406
24시,우니한판,0.037037037037037035
24시,왕새우 튀김,0.026748971193415638
24시,우삼겹숙주볶음,0.043227665706051875
24시,오늘의초밥,0.05179282868525897
24시,닭가라아케,0.03933253873659118
24시,나가사키짬뽕,0.04174573055028463
24시,연어사시미,0.028938906752411574
24시,명란구이,0.04081632653061224
24시,파인샤벳,0.06304985337243402
24시,먹태구이,0.06417112299465241
24시,육사시미,0.053497942386831275
24시,알탕,0.04355108877721943
24시,가쓰오우동,0.06206896551724138
24시,참다랑어 사시미&슈토,0.041666666666666664
24시,오뎅나베,0.046565774155995346
24시,모듬고로케,0.03484320557491289
24시,새우관자버터야끼,0.029508196721311476
24시,단새우,0.05747126436781609
24시,육회,0.053763440860215055
24시,육회덮밥,0.0380952380952381
24시,단새우&우니,0.020833333333333332
24시,타코와사비,0.0319634703196347
24시,메로구이,0.0650887573964497
24시,매운해물짬뽕,0.06209850107066381
24시,진미깡,0.09565217391304348
24시,1인사시미,0.05202312138728324
24시,회덮밥,0.075
24시,하루토 삼합,0.015873015873015872
24시,연어머리구이,0.0963855421686747
24시,도미머리구이,0.03508771929824561
24시,우니추가,0.11428571428571428
17시,모나카,0.024024024024024024
17시,우니한판,0.04938271604938271
17시,왕새우 튀김,0.0720164609053498
17시,우삼겹숙주볶음,0.08069164265129683
17시,오늘의초밥,0.1394422310756972
17시,닭가라아케,0.04886769964243146
17시,나가사키짬뽕,0.028462998102466792
17시,연어사시미,0.05144694533762058
17시,명란구이,0.053061224489795916
17시,파인샤벳,0.01466275659824047
17시,먹태구이,0.0053475935828877
17시,육사시미,0.037037037037037035
17시,알탕,0.05025125628140704
17시,가쓰오우동,0.04482758620689655
17시,참다랑어 사시미&슈토,0.11458333333333333
17시,오뎅나베,0.03608847497089639
17시,모듬고로케,0.041811846689895474
17시,새우관자버터야끼,0.07540983606557378
17시,단새우,0.04597701149425287
17시,육회,0.03763440860215054
17시,육회덮밥,0.06666666666666667
17시,단새우&우니,0.041666666666666664
17시,타코와사비,0.045662100456621
17시,메로구이,0.03747534516765286
17시,매운해물짬뽕,0.027837259100642397
17시,진미깡,0.034782608695652174
17시,1인사시미,0.04046242774566474
17시,회덮밥,0.075
17시,하루토 삼합,0.12698412698412698
17시,연어머리구이,0.024096385542168676
17시,도미머리구이,0.08771929824561403
17시,우니추가,0.02857142857142857
23시,모나카,0.10510510510510511
23시,우니한판,0.1111111111111111
23시,왕새우 튀김,0.06995884773662552
23시,우삼겹숙주볶음,0.07204610951008646
23시,오늘의초밥,0.09163346613545817
23시,닭가라아케,0.09654350417163289
23시,나가사키짬뽕,0.07590132827324478
23시,연어사시미,0.13504823151125403
23시,명란구이,0.0673469387755102
23시,파인샤벳,0.08064516129032258
23시,먹태구이,0.058823529411764705
23시,육사시미,0.11522633744855967
23시,알탕,0.08542713567839195
23시,가쓰오우동,0.1
23시,참다랑어 사시미&슈토,0.09375
23시,오뎅나베,0.09080325960419092
23시,모듬고로케,0.07317073170731707
23시,새우관자버터야끼,0.07868852459016394
23시,단새우,0.09961685823754789
23시,육회,0.0967741935483871
23시,육회덮밥,0.0761904761904762
23시,단새우&우니,0.15625
23시,타코와사비,0.091324200913242
23시,메로구이,0.11439842209072978
23시,매운해물짬뽕,0.1284796573875803
23시,진미깡,0.05217391304347826
23시,1인사시미,0.08092485549132948
23시,회덮밥,0.075
23시,하루토 삼합,0.1111111111111111
23시,연어머리구이,0.1566265060240964
23시,도미머리구이,0.11403508771929824
23시,우니추가,0.08571428571428572
22시,모나카,0.15615615615615616
22시,우니한판,0.06172839506172839
22시,왕새우 튀김,0.12962962962962962
22시,우삼겹숙주볶음,0.1239193083573487
22시,오늘의초밥,0.09561752988047809
22시,닭가라아케,0.12514898688915377
22시,나가사키짬뽕,0.1555977229601518
22시,연어사시미,0.12861736334405144
22시,명란구이,0.1326530612244898
22시,파인샤벳,0.1598240469208211
22시,먹태구이,0.1443850267379679
22시,육사시미,0.14814814814814814
22시,알탕,0.15912897822445563
22시,가쓰오우동,0.16206896551724137
22시,참다랑어 사시미&슈토,0.10416666666666667
22시,오뎅나베,0.15017462165308498
22시,모듬고로케,0.15331010452961671
22시,새우관자버터야끼,0.13114754098360656
22시,단새우,0.14942528735632185
22시,육회,0.1881720430107527
22시,육회덮밥,0.09523809523809523
22시,단새우&우니,0.10416666666666667
22시,타코와사비,0.2100456621004566
22시,메로구이,0.16568047337278108
22시,매운해물짬뽕,0.14346895074946467
22시,진미깡,0.1391304347826087
22시,1인사시미,0.15606936416184972
22시,회덮밥,0.1
22시,하루토 삼합,0.12698412698412698
22시,연어머리구이,0.18072289156626506
22시,도미머리구이,0.16666666666666666
22시,우니추가,0.14285714285714285
1시,모나카,0.015015015015015015
1시,우니한판,0.012345679012345678
1시,왕새우 튀김,0.018518518518518517
1시,우삼겹숙주볶음,0.008645533141210375
1시,오늘의초밥,0.00796812749003984
1시,닭가라아케,0.010727056019070322
1시,나가사키짬뽕,0.015180265654648957
1시,명란구이,0.022448979591836733
1시,파인샤벳,0.024926686217008796
1시,먹태구이,0.0106951871657754
1시,육사시미,0.0205761316872428
1시,알탕,0.010050251256281407
1시,가쓰오우동,0.027586206896551724
1시,오뎅나베,0.012805587892898719
1시,모듬고로케,0.006968641114982578
1시,새우관자버터야끼,0.01639344262295082
1시,단새우,0.034482758620689655
1시,육회,0.021505376344086023
1시,육회덮밥,0.02857142857142857
1시,단새우&우니,0.010416666666666666
1시,타코와사비,0.0319634703196347
1시,메로구이,0.01972386587771203
1시,매운해물짬뽕,0.01284796573875803
1시,진미깡,0.02608695652173913
1시,1인사시미,0.028901734104046242
1시,연어머리구이,0.012048192771084338
1시,도미머리구이,0.008771929824561403
1시,우니추가,0.05714285714285714
2시,나가사키짬뽕,0.0009487666034155598
